BUGULA STAGE,BUGULA RUN,BUGULA LOG10MASS,BUGULA LOG10MR,WATERSIPORA STAGE,WATERSIPORA RUN,WATERSIPORA LOG10MASS,WATERSIPORA LOG10MR
EARLY,3,1.101236598,-0.983770402,EARLY,1,1.20482947,-0.602515814
EARLY,3,1.249449559,-0.84218404,EARLY,1,1.294670421,-0.545733106
EARLY,3,1.280571265,-0.736012182,EARLY,1,1.183813382,-0.46339634
EARLY,3,1.223662002,-0.944245494,EARLY,1,1.218380881,-0.761893941
EARLY,3,1.1502981,-1.175525503,EARLY,1,1.283189492,-0.593327537
EARLY,3,1.012605274,-0.881589669,EARLY,1,1.32747694,-0.666596969
EARLY,3,1.273820738,-0.707219248,EARLY,1,1.333497535,-0.58952151
EARLY,3,1.196206298,-0.783819147,EARLY,1,1.39886778,-0.255906904
EARLY,4,1.287519432,-0.806514892,EARLY,2,1.152259914,-0.407089031
EARLY,4,1.287334081,-0.659766039,EARLY,2,1.292143748,-0.441551589
EARLY,4,1.210081802,-0.711500479,EARLY,2,1.219336001,-0.581252155
EARLY,4,1.290707454,-0.590809657,EARLY,2,1.38879599,-0.403226383
EARLY,4,1.248658713,-0.834937367,EARLY,2,1.309956753,-0.355174428
EARLY,4,1.173629059,-0.972895199,EARLY,2,1.296383962,-0.300647677
EARLY,4,1.131365227,-0.852418996,EARLY,2,1.300237838,-0.49675119
EARLY,4,1.296086201,-0.733737299,EARLY,2,1.208478367,-0.569115654
EARLY,4,1.193399032,-0.77549779,EARLY,2,1.239878086,-0.394549872
EARLY,4,1.254818394,-0.836139768,EARLY,2,1.258887058,-0.463373142
EARLY,4,1.038968553,-0.880428692,EARLY,2,1.20949794,-0.451290495
EARLY,4,0.99895518,-0.76513831,EARLY,3,1.204669194,-0.774012108
EARLY,4,1.242921057,-0.738531686,EARLY,3,1.199197176,-0.590042374
EARLY,4,0.994102403,-0.950020598,EARLY,3,1.381198063,-0.55106825
EARLY,4,1.306070607,-1.005481337,EARLY,3,1.155235694,-0.782911602
EARLY,4,1.184089662,-0.743596293,EARLY,3,1.284436915,-0.609571926
EARLY,4,1.140922283,-0.883377484,EARLY,3,1.239912229,-0.749309287
EARLY,4,1.261497321,-0.731045733,EARLY,3,1.291357346,-0.621196387
EARLY,4,1.156097964,-0.910316135,EARLY,3,1.321849005,-0.471933112
EARLY,5,1.078974695,-0.619549559,EARLY,3,1.213374438,-0.679027732
